Label,z_mean,z_std,z_aad,z_min,z_max,z_maxmin_diff,z_median,z_mad,z_IQR,z_neg_count,z_pos_count,z_above_mean,z_peak_count,z_skewness,z_kurtosis,z_energy,avg_result_accl,sma,z_mean_fft,z_std_fft,z_aad_fft,z_min_fft,z_max_fft,z_maxmin_diff_fft,z_median_fft,z_mad_fft,z_IQR_fft,z_above_mean_fft,z_peak_count_fft,z_skewness_fft,z_kurtosis_fft,z_energy_fft,avg_result_accl_fft
0,102.86,4.209560547135532,1.3828000000000003,95,141,46,103.0,1.0,1.0,0,100,51,26,7.542121891950396,65.02617567977856,10597.9,269.84359353421223,367.49,39.41504673432672,14.867887910891719,12.727715158411952,9.710586044902564,63.53875023757039,53.82816419266783,41.18200682237847,13.248640304975172,27.929594832473935,28,15,-0.3602451085137058,-1.1041730445796378,1774.6000000000004,148.29279710297905
0,103.13,4.218186814260365,1.4853999999999974,95,141,46,103.0,1.0,1.0,0,100,21,26,7.316651465667172,62.57730578344626,10653.590000000002,269.94350247808245,367.59999999999997,39.62410826288206,14.714959883445163,12.807198304601126,12.953414181190317,66.3558064600593,53.40239227886898,40.39838984142203,13.086336337019047,24.992143247905805,26,17,-0.1466199633644681,-1.1696117934394477,1786.599999999999,149.05094171124367
0,103.22,4.20613837147567,1.4943999999999995,95,141,46,103.0,1.0,1.0,0,100,24,28,7.3187557479136975,62.701404456120486,10672.060000000001,269.8851900405089,367.58,39.59921389100716,14.453451463725383,12.563723114080387,13.16824315410703,66.61578608769778,53.44754293359075,39.803506983610646,12.439006835507834,24.604620239309206,25,14,-0.15036018967542145,-1.1541469321185258,1776.9999999999998,149.08552116162747
0,103.35,4.169832130913665,1.4709999999999974,95,141,46,103.0,1.0,2.0,0,100,27,24,7.430459093147836,64.07854907872895,10698.609999999999,269.8727712919257,367.68999999999994,39.30002616787006,14.322986532309827,12.232986914725714,11.066412402058669,66.46311866966876,55.39670626761009,39.820119464164605,11.352486811795757,22.160357652054845,26,13,-0.162342672725593,-1.0543242377695838,1749.6399999999999,148.97003484888285
1,102.79,2.16469397375241,1.0255999999999978,84,106,22,103.0,1.0,2.0,0,100,68,26,-6.448303578265206,53.97442220025103,10570.47,268.2536303890701,364.83000000000004,20.737576033589804,8.034484442145747,6.183180268412537,3.1258879278871663,51.0,47.87411207211284,19.921365595035894,5.582267819623136,10.371239608462389,24,14,0.8975130695629808,2.3447421077649846,494.60000000000036,77.95808490363052
1,102.75,2.1230873745562144,0.98,84,106,22,103.0,1.0,2.0,0,100,68,25,-6.818704526409153,57.988733881319995,10562.07,268.2238237779469,364.94,20.38019653972327,7.340816644097023,5.743949511071126,4.87188887289192,43.0,38.12811112710808,19.969046837009888,4.758762278881266,9.299074866530603,24,17,0.41862495024559937,0.5963419156754819,469.2400000000004,76.00565864704575
1,102.89,2.1674639558710074,1.0161999999999998,84,106,22,103.0,1.0,2.0,0,100,71,25,-6.558131338087867,54.854599430691756,10591.050000000001,268.26145952850203,365.09999999999997,20.50678777367529,7.934207912919964,6.165326738741729,4.911315204066651,39.998786427184505,35.08747122311785,20.061286108166563,5.601193184065416,11.18826893009604,22,15,0.5490875514151939,-0.06929115530487628,483.47999999999996,76.0446698174042
1,102.97,2.165432982107735,0.9650000000000005,84,106,22,103.0,1.0,1.25,0,100,75,27,-6.668151348426045,56.052204456596264,10607.51,268.28331808891494,365.18000000000006,20.604136672231775,7.188153587117739,6.101778609629439,3.3279774295541635,36.1344452634247,32.80646783387054,19.68066880835343,5.809049535990927,10.796040906487889,24,16,0.05434923755318684,-0.5611625514134744,476.1999999999999,76.00056179456317
1,103.5,2.179449471770337,1.05,97,122,25,103.0,1.0,1.0,0,100,43,24,5.850825684437864,49.80409972299169,10717.0,269.1458249281449,366.11999999999995,20.562208023757844,7.748264398412601,6.161287724915213,3.6963832454905434,37.14592414443595,33.44954089894541,21.230660543254732,4.981038950176115,9.895944490486364,29,16,-0.23156134350973007,-0.3907083889641676,482.8399999999997,43.11615389097069
1,103.52,2.188515478583599,1.0735999999999992,97,122,25,103.0,1.0,1.0,0,100,41,25,5.76292315845075,48.72774734992464,10721.18,269.0890105450229,366.07,20.622604455037717,8.076396813620454,6.595658888258857,4.935331246941117,36.50044191671929,31.56511066977817,19.65914951416609,4.95785245363589,10.642489548501672,23,16,0.18529279476480293,-0.7282187644801303,490.52000000000015,43.25087330394004
1,103.51,2.174833326947148,1.041800000000001,97,122,25,103.0,1.0,1.0,0,100,41,25,5.883358339538442,50.143272037773954,10719.05,269.091024502778,366.01,20.41693214498979,8.26975705730722,6.982933636706747,4.350036616589979,35.98711077666119,31.63707416007121,20.75624296369773,6.530687796750818,13.346932835644555,26,14,-0.019640438870899585,-0.9192720969512069,485.24,43.19561692282276
1,103.06,5.106505654554786,1.3720000000000006,57,122,65,103.0,1.0,1.0,0,100,40,22,-6.8355276501431765,65.10815159748074,10647.44,269.6427022155575,367.09000000000003,49.48182799627385,14.833364356988202,12.350447484886502,14.33012326618557,78.0,63.669876733814434,53.07860731745745,11.330855442526953,20.5422420965007,28,15,-0.2649650927933925,-0.5596680146084485,2668.479999999999,168.06255392690178
1,102.99,4.7084923276989645,1.157600000000004,57,106,49,103.0,1.0,1.0,0,100,88,25,-9.304671321102067,88.02530779661257,10629.109999999999,269.1989036918057,366.59000000000003,47.03593560371335,6.6558817510028,5.442923270029507,33.208919322412214,62.99999999999999,29.79108067758778,47.786370692473156,4.884815386140179,9.621382587117274,28,17,-0.07146484145994218,-0.4539403727349849,2256.6800000000007,165.32788500006143
1,103.13,4.715198829317804,1.2022000000000004,57,106,49,104.0,1.0,1.0,0,100,53,25,-9.352193971556154,88.61438753152972,10658.029999999999,269.24240795589077,366.69999999999993,47.030741428099624,6.285647200029065,4.890086030820692,25.112442294839624,58.32202185433693,33.20957955949731,48.010400786444194,3.7830850904453257,7.830764876211802,30,16,-0.9261369656354503,1.3239947495731812,2251.3999999999996,165.22927943558076
1,103.33,4.754061421563671,1.3172000000000004,57,106,49,104.0,1.0,1.0,0,100,58,26,-9.241215328503497,87.20441628875554,10699.690000000002,269.3045634952911,366.93999999999994,47.26380340894628,6.9521857944446,5.212534534792305,29.153889767257677,67.86474753661606,38.710857769358384,47.20602676712622,3.823712268311752,7.453622380667937,25,15,-0.10164487617714879,0.9142479307278077,2282.1999999999994,165.41637732699542
1,103.94,0.9361623790774762,0.7368000000000007,101,106,5,104.0,1.0,2.0,0,100,64,29,0.04627689028560269,-0.1485030354249921,10804.400000000001,268.82539115724734,366.05999999999995,8.365559211157004,4.277548256259227,3.124396188211259,0.8484010340156138,21.707936625442386,20.859535591426773,8.195612435846705,1.9163197695257246,3.951995410975381,24,16,0.8176766976687118,1.0798589528668758,88.28000000000016,19.56745287260094
